#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,plate,mjd,fiberid,z,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3
15.6073351128913,14.0313522099974,15.6073543,14.0313517,19.64217,421,51821,99,0.2118952,15.0966,46.12514,230.5279,89.81878,15.381,14.848,10.516,0.533,4.332
25.2883770631654,13.3702586382303,25.2883331,13.3702776,18.63977,426,51882,58,0.1203921,50.50153,32.91237,126.9465,109.287,14.313,14.084,11.853,0.2290001,2.231
14.1962752252545,14.9974556454976,14.1962606,14.9975022,18.52866,420,51871,560,0.166701,29.15886,80.4388,378.7916,192.7079,13.768,13.384,9.923,0.3839998,3.460999
11.4340674017416,15.4457826914636,11.4339906,15.4458619,18.07382,419,51879,516,0.1101265,18.58333,57.72942,333.7775,187.841,13.074,12.811,9.322,0.2630005,3.489
19.1385390191567,14.8958707738325,19.1386,14.896031,19.4464,423,51821,520,0.05491123,41.89947,47.37079,156.8676,34.64463,15.092,15,12.036,0.09200001,2.964
22.7255062354186,-10.2497186389999,22.7251134,-10.250421,18.47991,2878,54465,106,0.09469812,15.69159,42.97176,231.0174,139.5816,14.358,13.962,10.506,0.3959999,3.456
7.26273997273817,-11.0634535037882,7.2627119,-11.0634319,17.03428,654,52146,252,0.05512742,1439.015,367.109,1621.797,1567.329,12.596,12.011,8.254,0.585,3.757
10.9233068447058,-11.1821794084572,10.9231671,-11.1821513,19.26567,656,52148,242,0.03619848,22.47906,24.5857,120.4211,28.24122,14.763,14.568,11.466,0.1949997,3.102
7.04703916896362,-10.7297430548816,7.0471123,-10.7303391,18.62035,653,52145,19,0.03472326,89.28519,89.80654,351.5582,77.89636,14.536,14.438,11.126,0.09800053,3.311999
17.0864251394892,-10.5167609465603,17.0863594,-10.5167201,18.67661,659,52199,132,0.07249189,17.46198,44.82515,168.4033,82.19209,14.406,14.214,10.671,0.1920004,3.543
6.9181854528625,-10.2426969064698,6.9181766,-10.2426494,19.46321,653,52145,113,0.04721045,14.0678,21.01702,88.48238,20.88587,15.383,15.326,11.878,0.05700016,3.448
14.629666720713,-10.1563750593363,14.6296089,-10.1564228,18.70728,658,52146,182,0.0228524,98.14864,153.7429,646.8888,165.0169,13.18,12.96,9.053,0.2200003,3.907
4.79392456798087,-9.56452556998652,4.7938629,-9.5645236,18.45163,652,52138,584,0.0852288,89.1767,76.78902,382.623,143.245,14.024,13.743,10.112,0.2810001,3.631
5.89750587537262,-9.5061724487718,5.8974793,-9.5061707,17.61176,653,52145,470,0.01797648,1918.998,647.5385,1928.911,159.4561,14.434,14.242,11.1,0.1920004,3.141999
32.0867665202856,-10.0843679046039,32.0867769,-10.084344,18.65679,667,52163,247,0.05555263,1082.986,412.4081,1517.265,157.8839,14.333,14.201,10.519,0.132,3.682
30.4858906180417,-9.72220349711572,30.4858303,-9.7221545,19.96075,666,52149,138,0.09794182,66.27409,50.4756,169.4778,31.35996,15.823,15.611,12.681,0.2119999,2.93
31.3020862531971,-8.88462022166268,31.3020809,-8.8846093,18.78529,667,52163,352,0.1848902,24.61827,48.57748,211.336,110.6762,14.475,14.015,10.588,0.46,3.427
359.921853733475,-9.44675152248249,359.9217808,-9.4467491,19.08141,650,52143,466,0.04235458,37.80932,39.62694,154.1727,33.70104,14.693,14.644,11.419,0.04899979,3.225
16.7065208718854,-8.77259168120179,16.7066157,-8.7726602,18.70837,659,52199,415,0.1097445,15.61869,54.34269,208.0564,74.66601,14.569,14.454,11.719,0.1149998,2.735001
